river_st,aarb_abulugriv_lukbancagayan,aarb_naganriv_lunaapayao_00-10,abrb_sinalangriv_lingsadpenarubia_00-03,arb_bayaoas_aguilarpang_00-07,arb_camilingriver_mayantoctar_98-07,crb_aligapay_quirino_01-09,crb_benayriv_dupaxnv_06-10,crb_buenavista_cagayanriver_isabela_00-05,crb_dipantan_nagtipunan_quirino_00-08,crb_jones_isabela_00-12,crb_magatriver_bagabagnuevavis_98-02,crb_pinacuananriv_ilaganisabela_00-10,crb_saltanriv_pinukpukkalinga_01-10,crb_tugue_pinacuananriv_00-09,crb_upi_cagayanriver_isabela_00-05,mrb_sanjoseriver_marikina_98-14,prb_baliwagriv_stodomingonuevacija_00-06,prb_coronelriv_bongabonnuevaecija_00-04,prb_arayat_pampriver_00-02,prb_pobsanisidro_pampriver_00-05,prb_riochico_zaragozanuevacija_00-06
1998,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2000,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2001,3,3,2,2,2,3,3,2,2,2,2,8,2,2,2,2,2,3,3,1,1
2002,3,3,2,2,2,3,3,2,2,2,2,8,2,2,2,2,2,3,3,1,1
2003,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,1,1
2004,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,1,1
2005,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,1,1
2006,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,1,1
2007,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,1,1
2008,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,1,1
2009,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,1,1
2010,3,3,8,8,8,1,3,8,8,8,8,8,8,8,8,8,8,3,1,3,1
2011,3,3,8,8,8,1,3,8,8,8,8,8,8,8,8,8,8,3,1,3,1
2012,3,3,8,8,8,1,3,8,8,8,8,8,8,8,8,8,8,3,1,3,1
2013,3,3,8,8,8,1,3,8,8,8,8,8,8,8,8,8,8,3,1,3,1
2014,3,3,8,8,8,1,3,8,8,8,8,8,8,8,8,8,8,3,1,3,1
2015,3,3,8,8,8,1,3,8,8,8,8,8,8,8,8,8,8,3,1,3,1
2016,3,3,8,8,8,1,3,8,8,8,8,8,8,8,8,8,8,3,1,3,1
,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,,
